,prompt,A,B,C,D,E,answer
1860,What is the advantage of diaphragm pumps compared to other hand pumps?,Diaphragm pumps can extract water from greater depths than other hand pumps.,"Diaphragm pumps are more easily installed, maintained, and repaired compared to other hand pumps.",Diaphragm pumps require less physical power to operate due to the lack of pulling rods.,Diaphragm pumps do not have a limit to the depth from which they can extract water.,Diaphragm pumps are more resistant to corrosion than other hand pumps.,C
1861,How does Greenspun's tenth rule relate to the partitioning of symbols in Common Lisp?,"Greenspun's tenth rule humorously points out that Common Lisp lacks an efficient system for partitioning symbols, contrasting it with the more sophisticated C++.","Greenspun's tenth rule suggests that Common Lisp has an advanced system for partitioning symbols, similar to object-oriented programming in C++.","Greenspun's tenth rule highlights the challenges faced in symbol partitioning in Common Lisp, particularly in comparison to an alternative approach provided by C++.","Greenspun's tenth rule explains the process of symbol partitioning in Common Lisp, highlighting its use of packages and emphasizing its superiority over C++.",Greenspun's tenth rule discusses the relationship between the partitioning of symbols in Common Lisp and the potential existence of Greenspun's 11 in C++.,A
1862,"Which evaluation strategy is characterized by the statement ""access is not given to the variables of the caller, but merely to certain objects""?",Call by name,Call by reference,Call by object reference,Call by value,Call by sharing,E
1863,What is the general opening bid structure in Roman Club bridge?,"2♣, 2♦, 2NT - 15+p canapé openings which may be in a 3-card suit","2♦, 2♠, 2♥ - 12-16p canapé openings with the longer suit ",1NT - 17-20p ,"1♦, 1♠, 1♥ - 12-20p canapé openings with the shorter suit ",1♣ - 12-16p and 21+p ,D
1864,What are the key factors addressed under the 107 Block Plan to minimize the risk of polio associated transmission in the highest risk blocks of UP and Bihar?,"Routine immunization, hand washing, and sanitation.","Zinc and ORS, hand washing, and sanitation.","Zinc and ORS, hand washing, and exclusive breast-feeding.","Routine immunization, zinc and ORS, and exclusive breast-feeding.","Routine immunization, hand washing, and exclusive breast-feeding.",D
1865,What are some projects experimenting with TPM support in operating systems?,A project developing a Java interface to TPM capabilities called TPM/J,A project developing a TPM device driver for Windows Vista and Windows 7,A project creating an open source implementation of the TCG's Trusted Software Stack called TrouSerS,A project developing a version of the Grub bootloader called TrustedGrub with TPM support,A project developing TPM device drivers for Linux,E
1866,What does the exposed section in the workshop reveal?,Part of a very large vehicle being assembled.,A hidden stash of weapons and ammunition.,A secret underground tunnel leading to freedom.,A group of prisoners planning an escape.,A hidden laboratory conducting illegal experiments.,A
1867,"According to the excerpt, what is the focus of the process argument against the idea of God's coercive omnipotence?",The argument suggests that worship should be directed towards a more comprehensive understanding of God's power.,The argument asserts that divine power should be worshiped because it was revealed through Jesus.,The argument maintains that divine power should not be the object of worship.,The argument claims that power for power's sake is incongruent with the Christian belief in Jesus.,The argument defends the idea of God's coercive omnipotence as consistent with the life of Jesus.,D
1868,"What was the estimated duration of the Paleocene-Eocene Thermal Maximum, a warm period associated with massive carbon release into the atmosphere?","300,000 to 350,000 years ","200,000 to 250,000 years","400,000 to 450,000 years ","20,000 to 50,000 years ","100,000 to 150,000 years",D
1869,How can the reduction of distortion emitted by the port in a bass reflex system be achieved?,By using a shorter port tube,By improving the efficiency of the port,By eliminating the port in the system,By increasing the asymmetrical loading of the driver cone,By placing a baffle at the inside end of the port tube,E
1870,What factors contribute to the resistance in a metal? ,"The amount of resistance in a metal is mainly influenced by the temperature and the purity of the metal. Higher temperatures cause bigger vibrations, and a mixture of different ions acts as an irregularity. ","The amount of resistance in a metal is mainly affected by the temperature and the pressure applied to the metal. Higher temperatures cause bigger vibrations, and pressure causes the metal to become more compact, leading to more resistance. ","The amount of resistance in a metal is mainly determined by the temperature and the thickness of the metal. Higher temperatures cause bigger vibrations, and thicker metals have more irregularities, leading to more resistance. ","The amount of resistance in a metal is mainly influenced by the purity of the metal and the amount of pressure applied to the metal. A mixture of different ions acts as an irregularity, and pressure causes the metal to become more compact, leading to more resistance. ","The amount of resistance in a metal is primarily dictated by the purity of the metal and the thickness of the metal. A mixture of different ions acts as an irregularity, and thicker metals have more irregularities, leading to more resistance. ",A
1871,What was the main reason for keeping the Chevaline project a secret for so long?,The project was kept secret to protect the re-entry vehicles from being targeted by the Soviet anti-ballistic missile screen.,The project was kept secret to ensure the continuous at-sea deterrent provided by at least one submarine on patrol.,The project was kept secret to maintain a credible and independent nuclear deterrent.,The project was kept secret to prevent controversy and public knowledge about the huge expenditure incurred.,The project was kept secret to develop an improved front end named Chevaline.,D
1872,What is the explanation for the effective supersymmetry in quark-diquark models?,"Two different color charges close together appear as the corresponding anti-color under fine resolution, which makes a diquark cluster viewed with fine resolution effectively appear as an antiquark. Therefore, a baryon containing 3 valence quarks, of which two tend to cluster together as a diquark, behaves like a meson.","Two different color charges close together appear as the corresponding anti-color under any resolution, which makes a diquark cluster viewed with any resolution effectively appear as an antiquark. Therefore, a baryon containing 3 valence quarks, of which two tend to cluster together as a diquark, behaves like a meson.","Two different color charges close together appear as the corresponding color under coarse resolution, which makes a diquark cluster viewed with coarse resolution effectively appear as a quark. Therefore, a baryon containing 3 valence quarks, of which two tend to cluster together as a diquark, behaves like a baryon.","Two different color charges close together appear as the corresponding color under fine resolution, which makes a diquark cluster viewed with fine resolution effectively appear as a quark. Therefore, a baryon containing 3 valence quarks, of which two tend to cluster together as a diquark, behaves like a baryon.","Two different color charges close together appear as the corresponding anti-color under coarse resolution, which makes a diquark cluster viewed with coarse resolution effectively appear as an antiquark. Therefore, a baryon containing 3 valence quarks, of which two tend to cluster together as a diquark, behaves like a meson.",E
1873,What is the purpose of load balancing in computing?,"Load balancing in computing refers to the distribution of incoming requests over a number of backend servers in a cluster, according to a scheduling algorithm.",Load balancing in computing refers to a measure of the density of requests on a backend server. Higher load balancing indicates a higher density of requests.,Load balancing in computing refers to the ability of a load balancer to perform special features based on vendor-specific requirements.,Load balancing in computing refers to assigning a ratio to backend servers to cause some servers to get a greater share of the workload.,Load balancing in computing refers to assigning a ratio to backend servers to ensure an equal share of the workload.,A
1874,Which of the following programs was written by Daniel J. Bernstein with security as a primary goal?,ucspi-tcp,ezmlm,daemontools,qmail,BIND,D
1875,"How many total internal reflections at 68°27' did Fresnel predict and verify would give a precise circular polarization if two of the reflections had water as the external medium while the other two had air, but not if the reflecting surfaces were all wet or all dry?","Fresnel predicted and verified that three total internal reflections at 75°27' would give a precise circular polarization if two of the reflections had water as the external medium and the third had air, but not if the reflecting surfaces were all wet or all dry.","Fresnel predicted and verified that eight total internal reflections at 68°27' would give an accurate circular polarization if four of the reflections had water as the external medium while the other four had air, but not if the reflecting surfaces were all wet or all dry.","Fresnel predicted and verified that four total internal reflections at 30°27' would result in circular polarization if two of the reflections had water as the external medium while the other two had air, regardless if the reflecting surfaces were all wet or all dry.","Fresnel predicted and verified that four total internal reflections at 68°27' would give a precise circular polarization if two of the reflections had water as the external medium while the other two had air, but not if the reflecting surfaces were all wet or all dry.","Fresnel predicted and verified that two total internal reflections at 68°27' would give an accurate linear polarization if one of the reflections had water as the external medium and the other had air, but not if the reflecting surfaces were all wet or all dry.",D
1876,How does baryogenesis occur within the Standard Model?,"The occurrence of pair-annihilation decreases due to rapid expansion, preventing the particles and their antiparticles from achieving thermal equilibrium.","The particles and their antiparticles achieve thermal equilibrium due to rapid expansion, increasing the occurrence of pair-annihilation.",Baryogenesis within the Standard Model does not require the electroweak symmetry breaking to be a first-order phase transition.,"Baryogenesis within the Standard Model requires the electroweak symmetry breaking to be a first-order phase transition, as sphalerons would otherwise wipe off any baryon asymmetry that happened up to the phase transition.",The amount of net baryons (and leptons) created through baryogenesis is precisely sufficient to account for the present baryon asymmetry.,D
1877,What is the explanation for the effective supersymmetry in quark-diquark models?,"Two different color charges close together appear as the corresponding anti-color under fine resolution, which makes a diquark cluster viewed with fine resolution effectively appear as an antiquark. Therefore, a baryon containing 3 valence quarks, of which two tend to cluster together as a diquark, behaves like a meson.","Two different color charges close together appear as the corresponding color under fine resolution, which makes a diquark cluster viewed with fine resolution effectively appear as a quark. Therefore, a baryon containing 3 valence quarks, of which two tend to cluster together as a diquark, behaves like a baryon.","Two different color charges close together appear as the corresponding color under coarse resolution, which makes a diquark cluster viewed with coarse resolution effectively appear as a quark. Therefore, a baryon containing 3 valence quarks, of which two tend to cluster together as a diquark, behaves like a baryon.","Two different color charges close together appear as the corresponding anti-color under any resolution, which makes a diquark cluster viewed with any resolution effectively appear as an antiquark. Therefore, a baryon containing 3 valence quarks, of which two tend to cluster together as a diquark, behaves like a meson.","Two different color charges close together appear as the corresponding anti-color under coarse resolution, which makes a diquark cluster viewed with coarse resolution effectively appear as an antiquark. Therefore, a baryon containing 3 valence quarks, of which two tend to cluster together as a diquark, behaves like a meson.",E
1878,How did the score in the game of Chunkey depend on the notches on the poles?,The score depended on the number of notches on the poles.,The score depended on the placement of the notches on the poles.,The score depended on the material of the poles.,The score depended on the length of the poles.,The score depended on which set of notches was closest to the disc.,E
1879,How does the presence of vacancies in the octahedral holes of PuO2 contribute to its utility as a nuclear fuel?,"The vacancies in the octahedral holes of PuO2 allow for the absorption of additional neutrons, ensuring a sustained nuclear chain reaction.","The vacancies in the octahedral holes of PuO2 provide a surface for the bonding of fission products, preventing them from escaping into the surrounding environment.","The vacancies in the octahedral holes of PuO2 allow room for fission products, thus maintaining the structural integrity of the material.",The vacancies in the octahedral holes of PuO2 prevent the formation of undesirable byproducts during nuclear reactions.,"The vacancies in the octahedral holes of PuO2 act as a catalyst, promoting the rate of nuclear fission reactions.",C
1880,What evidence supports the existence of a supermassive black hole at the center of the Milky Way galaxy?,"The Milky Way galaxy has a supermassive black hole at its center because the star S14 follows an elliptical orbit with a period of 15.2 years and a pericenter of 17 light-hours from the center of the central object. From the motion of star S14, the object's mass can be estimated as 4.0 million M☉, or about 7.96×1036 kg. The radius of the central object must be less than 17 light-hours, because otherwise S14 would collide with it. Observations of the star S2 indicate that the radius is no more than 6.25 light-hours, about the diameter of Uranus' orbit. No known astronomical object other than a black hole can contain 4.0 million M☉ in this volume of space.","The Milky Way galaxy has a supermassive black hole at its center because of the bright flare activity observed near Sagittarius A*. The radius of the central object must be less than 6.25 light-hours, about the diameter of Uranus' orbit. Observations of the star S2 indicate that the radius is no more than 17 light-hours, because otherwise S2 would collide with it. No known astronomical object other than a black hole can contain 4.0 million M☉ in this volume of space.",The Milky Way galaxy has a supermassive black hole at its center because it is the only explanation for the bright flare activity observed near Sagittarius A* at a separation of six to ten times the gravitational radius of the candidate SMBH.,"The star S2 follows an elliptical orbit with a period of 15.2 years and a pericenter of 17 light-hours from the center of the central object. From the motion of star S2, the object's mass can be estimated as 4.0 million M☉, or about 7.96×1036 kg. The radius of the central object must be less than 17 light-hours, because otherwise S2 would collide with it. Observations of the star S14 indicate that the radius is no more than 6.25 light-hours, about the diameter of Uranus' orbit. No known astronomical object other than a black hole can contain 4.0 million M☉ in this volume of space.","The Milky Way galaxy has a supermassive black hole at its center because of the bright flare activity observed near Sagittarius A*. The radius of the central object must be less than 17 light-hours, because otherwise S2 would collide with it. Observations of the star S14 indicate that the radius is no more than 6.25 light-hours, about the diameter of Uranus' orbit. No known astronomical object other than a black hole can contain 4.0 million M☉ in this volume of space.",A
1881,What are some popular analog modulation techniques used in telecommunications engineering?,Frequency modulation and time-division multiplexing.,Phase modulation and time-division multiplexing.,Amplitude modulation and frequency modulation.,Amplitude modulation and phase modulation.,Frequency modulation and amplitude modulation.,C
1882,Where is the Large Hadron Collider located?,Germany,Switzerland,France,Belgium,France and Switzerland border,E
1883,"What is the current perception of the term ""Mormon""?",The term Mormon is primarily used to refer to members of the LDS Church.,The term Mormon is primarily used to refer to non-Mormons sympathetic to the movement.,The term Mormon is generally regarded as pejorative.,The term Mormon is exclusively adopted by adherents of Mormon fundamentalism.,The term Mormon has lost its pejorative status and is now widely accepted.,A
1884,How is the high definition feed of the YES Network transmitted?,It is carried in high definition by most cable providers in the New York metropolitan area.,"It is carried in high definition on select cable providers, including Comcast, Cablevision, DirecTV, RCN, Charter Spectrum, and Verizon FiOS, as well as being transmitted in 1080i.",It is carried in both standard and high definition by most cable providers in the New York metropolitan area and nationwide on DirecTV.,"It is carried in high definition on select cable providers, including Comcast, Cablevision, DirecTV, RCN, Charter Spectrum, and Verizon FiOS, but the feed is not simulcast in high definition.","It is carried in high definition only on select cable providers, including Comcast, Cablevision, DirecTV, RCN, Charter Spectrum, and Verizon FiOS.",B
1885,What is the process of sperm transfer in spiders called?,Copulation,Fertilization,Viviparous,Parthenogenesis,Oviposition,A
1886,What activities can be found at the Free Expression Tunnel?,"Skating, rollerblading, and breakdancing are popular activities in the tunnel.",The tunnel is primarily used as a transportation route for pedestrians.,The tunnel is a popular spot for graffiti artists to showcase their work.,The tunnel serves as a venue for live music performances and concerts.,Local artists and students gather to showcase their artwork and paintings.,E
1887,"What are ""baby Moons"" in the context of hot rods?",Baby Moons are named after their small size and being constructed in the mountains of Tennessee and North Carolina.,Baby Moons are named after a type of hubcaps used to release air from engine compartments.,"Baby Moons are small examples of mountain motors, which are large-displacement engines.",Baby Moons are used for aesthetics and are incorrectly referred to as moon discs.,"Baby Moons refer to plain flat chrome or aluminum disc hubcaps, originally adopted by land speed racers.",E
1888,What is the Sonochromatic Music Scale developed by Harbisson?,"The Sonochromatic Music Scale is a scale with 180 notes in an octave, developed by Harbisson in 2003.","The Sonochromatic Music Scale is a scale with 30 notes in an octave, developed by Harbisson in 2003.","The Sonochromatic Music Scale is a scale with 60 notes in an octave, developed by Harbisson in 2003.","The Sonochromatic Music Scale is a scale with 360 notes in an octave, developed by Harbisson in 2003.","The Sonochromatic Music Scale is a scale with 120 notes in an octave, developed by Harbisson in 2003.",D
1889,"What type of factions can be subject to conscientious objection, according to the adaptation of the conscientious objection clause mentioned in the excerpt?",Only religious factions with no particular sectarian affiliation or theological position required.,Only factions that have a particular sectarian affiliation or theological position required.,Both religious and non-religious factions that advocate pacifism in all respects.,Both religious and non-religious factions with no particular sectarian affiliation or theological position required.,Only religious factions that advocate pacifism in all respects.,A
1890,How did ancient Greek beliefs influence the understanding of female reproductive processes?,Ancient Greek beliefs suggested that female reproductive organs functioned differently from male organs.,Ancient Greek beliefs focused on the role of female pleasure in determining the sex of the baby.,Ancient Greek beliefs emphasized the importance of female pleasure and orgasm for conception.,Ancient Greek beliefs regarded female reproduction as a purely physiological process unrelated to pleasure.,Ancient Greek beliefs attributed conception solely to male reproductive processes.,A
1891,How long does it take for Spirit to complete one orbit around the Sun?,7 months,"2,634 days","2,867 days",1 AU,3 years,C
1892,What are some models that attempt to account for all observations without invoking supplemental non-baryonic matter?,"The Doppler effect, the photoelectric effect, or the Compton effect.","The Higgs boson, the W boson, or the Z boson.","Modified Newtonian dynamics, tensor–vector–scalar gravity, or entropic gravity.","The strong nuclear force, the weak nuclear force, or the electromagnetic force.","Kepler's laws, Newton's laws, or Einstein's theory of general relativity.",C
1893,Which moderator is commonly used in fast-neutron reactors?,Graphite,Beryllium,Lead,Boron,Heavy water,E
1894,"What is the origin of the term ""tempera"" in relation to paint?","The term ""tempera"" comes from the early Egyptian language, used to describe the process of paint mixing.","The term ""tempera"" comes from the traditional tempera paint used in Italy during the Renaissance.","The term ""tempera"" comes from the United States, where it was coined to describe a particular type of poster paint.","The term ""tempera"" comes from the Italian phrase dipingere a tempera, meaning ""paint in distemper.""","The term ""tempera"" comes from the Late Latin word distemperare, meaning ""mix thoroughly.""",D
1895,"What is the distinction between ""movement in stillness"" and ""stillness in movement"" in Taoist meditation practices?","""Movement in stillness"" refers to a state of meditative calm, while ""stillness in movement"" refers to energetic visualization of qi circulation.","""Movement in stillness"" refers to qigong exercises, while ""stillness in movement"" refers to seated meditation.","""Movement in stillness"" refers to internal alchemy, while ""stillness in movement"" refers to guiding and pulling.","""Movement in stillness"" refers to seated meditation, while ""stillness in movement"" refers to qigong exercises.","""Movement in stillness"" refers to energetic visualization of qi circulation, while ""stillness in movement"" refers to a state of meditative calm.",E
1896,What is the purpose of calcining copper chromite at 350-400 °C?,Calcining copper chromite at 350-400 °C produces a catalyst for the hydrogenolysis of ester compounds.,Calcining copper chromite at 350-400 °C improves the efficiency of the hydrogenation process.,Calcining copper chromite at 350-400 °C is used to transform carbon-oxygen double bonds into single bonds.,Calcining copper chromite at 350-400 °C yields a solid product used in the reduction of phenanthrene.,Calcining copper chromite at 350-400 °C is the first step in the formation of sebacion.,A
1897,What influenced Arnold Leese's anti-Semitism?,"His upbringing in a community that held negative views towards Jews, leading him to adopt anti-Semitic beliefs.","His personal experiences with Jewish individuals, which shaped his perspective on Jews and their influence.","His neighbor Arthur Kitson, who believed in the control of money by Jews and provided Leese with a copy of the Protocols of the Learned Elders of Zion.",His strong opposition to Judaism as a religion and his belief in the superiority of his own religious beliefs.,His research on the historical influence of Jews in various economic and political spheres.,C
1898,How is the FreeBSD Core Team elected?,The FreeBSD Core Team is determined through a random lottery system.,The FreeBSD Core Team is automatically comprised of the top contributors based on their commit history.,The FreeBSD Core Team is chosen by a panel of industry experts outside of the project.,The FreeBSD Core Team is appointed by the project managers based on their expertise and contributions.,The FreeBSD Core Team is selected through an open election where all project developers can vote.,E
1899,What are the requirements stated in Title 47 CFR Part 15: Subpart A for any radiator emitting radio energy?,The radiator must meet the general provisions of 47 CFR Part 15.,The radiator must meet the requirements of 47 CFR 15 and be licensed by the FCC.,The radiator must meet the requirements of 47 CFR 15 or be exempted by the FCC.,The radiator must be licensed by the FCC.,The radiator must accept interference from other sources.,C
1900,What does genetics study?,Biology in general,Heredity and variation in living organisms,The ancient Greek language,The origin of biological organisms,The science of crystallographic point groups,B
1901,How is the abundance indication denoted in the classification of stars?,An abundance indication is denoted as S2/5 in all cases.,"An abundance indication is denoted as S2,5 in all cases.",An abundance indication is denoted as S2*5 in all cases.,An abundance indication may vary depending on the ratio of ZrO and TiO.,An abundance indication is denoted as S2 Zr4 Ti2 in all cases.,D
1902,"What is the major difference between tips and ""tokes"" in the context of the case Olk v. United States?","Tips are given in cash, while ""tokes"" are given in the form of free meals or other perks.","Tips are mandatory for customers, while ""tokes"" are optional gestures of gratitude.","Tips are calculated based on the customer's winnings, while ""tokes"" are a fixed amount given to the casino workers.","Tips are given directly to the casino workers, while ""tokes"" are added to the collective pool and distributed among the staff.","Tips are received by casino workers for specific services provided to customers, while ""tokes"" are not.",E
1903,What is the inferred depositional sequence in the Gulf of Corinth basin based on the late Quaternary uplift rates?,The uplift rates during the late Quaternary suggest the deposition of marine terraces and other continental to marine deposits.,"Infilling of the basin began during the Pliocene, depositing shallow-water lacustrine facies followed by continental sediments.",The average uplift rates on the southern margin of the basin increased during the Holocene.,The basin was initially filled with continental and shallow-water lacustrine facies during the Pliocene.,The basin was filled with marine sediments in the middle Pliocene.,A
1904,What is the Ki value of orphenadrine as a NMDA receptor antagonist?,Ki value of 6 μM,Ki value of 0.7 μM,Ki value of 4 μM,Ki value of 8 μM,Ki value of 2 μM,A
1905,What is one of the popular selling points of the Kirby home care system?,The ability to easily configure it into an air compressor,The ability to easily configure it into a floor buffer,The ability to easily configure it into a steam cleaner,The ability to easily configure it into a canister vacuum,The ability to easily configure it into a hand portable vacuum,D
1906,What is the revised view of the atmosphere's nature based on the time-varying multistability that is associated with the modulation of large-scale processes and aggregated feedback of small-scale processes?,"The atmosphere possesses both chaos and order, including emerging organized systems and time-varying forcing from recurrent seasons.",The atmosphere is a system that is only influenced by small-scale processes and does not exhibit any large-scale modulation.,The atmosphere is a system that is only influenced by large-scale processes and does not exhibit any small-scale feedback.,The atmosphere is a completely ordered system with no chaos or randomness.,The atmosphere is a completely chaotic system with no order or organization.,A
1907,How do stellar populations become more metal-enriched over time?,By absorbing metal-rich cosmic rays from supernovae,Through the metal-rich material returned by dying stars ,Via the accretion of metal-enriched interstellar dust particles,By consuming metal-rich gas clouds during their formation,Through the formation of low-metallicity star clusters,B
1908,How many individual elements does the Westinghouse Sign comprise?,54,27,63,45,36,D
1909,How does Buddhism understand causality?,"Buddhism understands causality as the basis of ontology, not relying on a creator God or the concept of universal Self.",Buddhism understands causality based on Newtonian mechanics.,"Buddhism understands causality as the basis of ontology, relying on a creator God or the concept of universal Self.","Buddhism understands causality as a predetermined outcome, not influenced by any causes or conditions.",Buddhism does not recognize causality as a significant factor in understanding ontology.,A
1910,"In cuneiform texts, what is the possible equivalent sign for the later version of DAGAL, which is somewhat similar to the sign gáb?","The cuneiform sign GUN, with a star-shaped enclosed figure.","The cuneiform sign zilch, without any enclosed figure.","The cuneiform sign ZIG, with a zigzag-shaped enclosed figure.","The cuneiform sign TAB, with triangular-shaped enclosed figure.","The cuneiform sign TUM, with a circular enclosed figure.",E
1911,"In certain games, what does running out of health most commonly result in?",Respawning at a nearby checkpoint.,Losing a life or receiving a Game Over.,A decrease in the difficulty level of the game.,Triggering a game event or cutscene.,The player character being revived by an ally.,B
1912,What are some models that attempt to account for all observations without invoking supplemental non-baryonic matter?,"The Doppler effect, the photoelectric effect, or the Compton effect.","Modified Newtonian dynamics, tensor–vector–scalar gravity, or entropic gravity.","The Higgs boson, the W boson, or the Z boson.","The strong nuclear force, the weak nuclear force, or the electromagnetic force.","Kepler's laws, Newton's laws, or Einstein's theory of general relativity.",B
1913,What is the defining characteristic of a still motion movie?,A still motion movie must contain images of anything and need not have any composition relation with its predecessor frame.,A still motion movie must have a higher frame rate than a stop motion movie.,A still motion movie must include subliminal messaging as a method of communication.,A still motion movie must be less confined than a stop motion movie in terms of its attributes.,"A still motion movie must have all frames with the same dimensions, but each image may have its own dimensions within a frame.",E
1914,What is the role of the amygdala in the modulation of REM sleep?,The amygdala has no effect on REM sleep modulation.,The amygdala plays a dominant role in the modulation of REM sleep.,The amygdala contributes to the modulation of REM sleep.,The amygdala is not involved in the modulation of REM sleep.,The amygdala has a minor role in the modulation of REM sleep.,C
1915,Which models attempt to account for all observations without invoking supplemental non-baryonic matter?,"The Higgs boson, the W boson, or the Z boson.","The strong nuclear force, the weak nuclear force, or the electromagnetic force.","The Doppler effect, the photoelectric effect, or the Compton effect.","Modified Newtonian dynamics, tensor–vector–scalar gravity, or entropic gravity.","Kepler's laws, Newton's laws, or Einstein's theory of general relativity.",D
1916,"What method can be used to calculate recharge in the runoff model (reservoir), and how does it compare to the initial value of Sa?","The Curve Number method (CN method) gives a way to calculate the recharge and compares with Sm − Si, where Si is the initial value of Sa.",The Nash model uses a series of linear reservoirs in which each reservoir empties into the next until the runoff is obtained.,"For calibration, the model requires considerable research.","Figures 3 and 4 were made with the RainOff program, designed to analyze rainfall and runoff using the non-linear reservoir model with a pre-reservoir.",The model requires the runoff to be obtained from a cascade of linear reservoirs.,A
1917,Who was Alfred Maury in disagreement with in the field of dream research?,There is no mention of Alfred Maury having any disagreements with anyone in the field of dream research.,"Alfred Maury was in disagreement with a dream researcher named Blanken, as mentioned in the citation (Blanken & Meijer, 1988).","Alfred Maury was in disagreement with Louis Ferdinand Alfred Maury, another dream researcher who was also studying the field in the same period.","Alfred Maury was in disagreement with Hervey de Saint Denys, a prominent figure in dream research who held different views on the subject.","Alfred Maury was in disagreement with Meijer, a dream researcher with whom he collaborated on several studies.",D
1918,How is the cleavage of pri-miRNAs different from the processing of pre-miRNAs in the microprocessor complex?,"Pri-miRNAs are cleaved co-transcriptionally and have a characteristic RNase III single-stranded overhang of 2-3 nucleotides, while pre-miRNAs are further processed by the endoribonuclease enzyme Dicer.","Pri-miRNAs and pre-miRNAs are both processed by the microprocessor complex, but pri-miRNAs have a larger size and more complex stem-loop structure compared to pre-miRNAs.","Pri-miRNAs are exported from the nucleus to the cytoplasm in a RanGTP-dependent manner, while pre-miRNAs are transported by the transport protein exportin-5.","Pri-miRNAs do not require the involvement of any transport protein for their processing, while pre-miRNAs rely on RanGTP for their transport to the cytoplasm.","Pri-miRNAs are small introns that undergo splicing before cleavage, while pre-miRNAs do not undergo splicing before processing.",A
1919,"In relation to Blackpool, Cork, which of the following is true?",Blackpool is a now faded commercial and social center of working-class districts on the south side of Cork City.,Blackpool is a vibrant working class community associated with icons such as Taoiseach (Prime Minister of the Republic of Ireland) and hurler Jack Lynch.,"Blackpool is an emigrant destination for weavers from Britain, known for its textile industry.",Blackpool is a neighborhood in Cork City known for its association with footballer Charlie Hurley.,"Blackpool is a suburb of Cork City with a concentration of industries such as tanning, bacon curing, brewing, and distilling.",B
1920,"According to a previous work by Sandu Popescu in the field of statistical mechanics, what conclusion was made regarding the equal a priori probability postulate?",The equal a priori probability postulate is an unnecessary postulate in statistical mechanics as it can be derived from typicality.,"The equal a priori probability postulate is only applicable in systems with regular interactions, where temperature can be defined.","The equal a priori probability postulate is a fundamental postulate of statistical mechanics, influencing the typicality of the results.","The equal a priori probability postulate holds true in all situations, including systems with strong long-range, non-screened interactions.",The equal a priori probability postulate is a postulate that cannot be proven or refuted in statistical mechanics.,A
1921,What role does NWLink play in networking?,NWLink is used to connect Windows operating systems to IPX/SPX NetWare networks.,NWLink does not have any significant role in networking.,NWLink is used to provide access to NetWare File and Print Services.,NWLink connects NetWare servers through the Gateway Service for NetWare or Client Service for NetWare.,NWLink is an implementation of Microsoft's IPX/SPX protocols.,D
1922,How is the dimension of an object in a CW complex determined?,"The dimension of an object in a CW complex is determined by the number of critical points the object contains. The boundary of a discrete set of points is considered to have dimension 1, while the empty set is given a dimension of 0.",The dimension of an object in a CW complex depends on the number of singularities in the object. The empty set and the boundary of a discrete set of points are both assigned a dimension of 0.,"The dimension of an object in a CW complex is calculated by counting the number of cells of all dimensions in the object. The empty set is given a dimension of 0, while the boundary of a discrete set of points is assigned a dimension of -1.","The dimension of an object in a CW complex is the smallest n for which the n-skeleton is nontrivial. The empty set is given a dimension of -1, while the boundary of a discrete set of points is assigned a dimension of 0.","The dimension of an object in a CW complex is the largest n for which the n-skeleton is nontrivial, where the empty set is considered to have dimension -1 and the boundary of a discrete set of points is the empty set.",E
1923,What is the non-destructive method commonly used for labeling molecules to confer fluorescence?,Fluorescent labeling is achieved by modifying the molecular structure with chemical mimics of the GFP tripeptide chromophore.,Fluorescent labeling is accomplished by introducing photoactive yellow protein variants which can bind chemical mimics of the GFP tripeptide chromophore.,Fluorescent labeling is achieved by modifying the molecular structure with 3-form Noether charges associated with fluorescence.,Fluorescent labeling is achieved by introducing 1-form Noether charges associated with fluorescence.,Fluorescent labeling is accomplished by engineering RNA sequences to bind GFP chromophore chemical mimics.,A
1924,"According to the limited literature on polycentric urban regions, what is the main reason for the growing interest in this concept among politicians and urban planners in the European context?",The synergetic nature of international cities in the European context.,The increasing number of international cities in Europe.,The influence of Bailey and Turok's research on polycentric urban regions.,The consolidated nature of the literature on polycentric urban regions.,The declining trend of polycentric urban regions in Europe.,A
1925,What was the purpose of the AIM spacecraft in the Double Asteroid Redirection Test?,AIM would have measured the effect on Earth's orbit during the close approach in October 2022.,"AIM would have studied the asteroid's strength, surface physical properties, and its internal structure, as well as measure the effect on the asteroid moon's orbit around the larger asteroid.",AIM would have launched in July 2021 and impacted the moon on October 2022.,AIM would have impacted the larger asteroid and study its composition.,AIM would have orbited the moon of the larger asteroid.,B
1926,What is the purpose of the music and actions described in the excerpt?,The music and actions serve as a foreshadowing of future events.,The music and actions suggest a performance on a carousel.,The music and actions symbolize a farewell to the characters' past life.,The music and actions represent a happy celebration in the story.,The music and actions signify a transition to a new scene.,C
1927,What is the subject of Lieselott Herforth's diploma thesis?,Geiger counter technology,Quantum mechanics,Physics,Mathematics,Hans Geiger's research on radioactive decay,C
1928,How can dysentery be minimized in honey bees?,By treating hives with antibiotics such as fumagillin and not feeding the bees any alternative source of food.,By removing much of the honey from the beehive and not feeding the bees on any alternative source of food.,By feeding the bees on natural honey with higher nutrient content than refined sugar.,By removing much of the honey from the beehive and feeding the bees on sugar water made from refined sugar with lower ash content than flower nectar.,By treating hives with antibiotics such as fumagillin to prevent or minimize Nosemosis.,D
